,,0
fips,fips,1.0
actuals.vaccinesDistributed,actuals.vaccinesAdministered,0.9845276115910435
actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,0.981568602559219
actuals.vaccinationsCompleted,actuals.vaccinesAdministered,0.9776170675787369
actuals.vaccinationsInitiated,actuals.vaccinesAdministered,0.9708555654943017
actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,0.9669273164103366
actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.weeklyCovidAdmissions,0.9642021145826495
actuals.vaccinationsCompleted,actuals.vaccinesDistributed,0.9573086009002777
actuals.vaccinesDistributed,actuals.vaccinationsInitiated,0.9528827805298438
actuals.icuBeds.capacity,actuals.hospitalBeds.capacity,0.9400760540106553
actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,0.8959204866817079
actuals.hospitalBeds.currentUsageTotal,actuals.icuBeds.capacity,0.8859062483552764
actuals.hospitalBeds.currentUsageTotal,actuals.icuBeds.currentUsageTotal,0.8791237533253436
actuals.icuBeds.currentUsageTotal,actuals.hospitalBeds.capacity,0.8539032607280633
actuals.cases,actuals.deaths,0.8489346608261621
actuals.positiveTests,actuals.cases,0.8458827002789956
actuals.positiveTests,actuals.vaccinesDistributed,0.8384877667436935
actuals.deaths,actuals.vaccinesDistributed,0.8373304461319817
actuals.hospitalBeds.currentUsageTotal,actuals.deaths,0.83342633825799
actuals.deaths,actuals.hospitalBeds.capacity,0.8322373429863533
actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.currentUsageCovid,0.8296208136928082
actuals.hospitalBeds.currentUsageTotal,actuals.vaccinationsInitiated,0.8274821148506651
actuals.hospitalBeds.currentUsageTotal,actuals.vaccinationsCompleted,0.8244645282109835
actuals.vaccinesAdministered,actuals.positiveTests,0.8213483192263866
actuals.cases,actuals.vaccinesDistributed,0.8173382002581144
actuals.hospitalBeds.capacity,actuals.vaccinationsCompleted,0.8170054097691816
actuals.deaths,actuals.vaccinationsInitiated,0.8078156158557792
actuals.hospitalBeds.capacity,actuals.vaccinationsInitiated,0.8065234209680294
actuals.vaccinesDistributed,actuals.hospitalBeds.currentUsageTotal,0.7968774480116265
actuals.vaccinationsCompleted,actuals.deaths,0.796754800645845
actuals.vaccinesAdministered,actuals.deaths,0.7901592875120991
actuals.deaths,actuals.icuBeds.capacity,0.7885730336480661
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.icuBeds.currentUsageCovid,0.7793225126156266
actuals.hospitalBeds.currentUsageTotal,actuals.vaccinesAdministered,0.7788621185030985
actuals.vaccinesDistributed,actuals.hospitalBeds.capacity,0.7735682237874971
actuals.vaccinesAdministered,actuals.cases,0.7647388667791328
actuals.vaccinesAdministered,actuals.hospitalBeds.capacity,0.7596094501154282
actuals.hospitalBeds.capacity,actuals.cases,0.7588883132181403
actuals.cases,actuals.icuBeds.capacity,0.7558861063213484
actuals.positiveTests,actuals.vaccinationsCompleted,0.7478893656589974
actuals.hospitalBeds.currentUsageTotal,actuals.cases,0.7427911945591783
actuals.icuBeds.currentUsageTotal,actuals.cases,0.7343013685829399
actuals.vaccinationsInitiated,actuals.positiveTests,0.7323464092288802
actuals.deaths,actuals.positiveTests,0.7160727276775912
actuals.vaccinationsCompleted,actuals.cases,0.7082679413192595
actuals.icuBeds.capacity,actuals.vaccinationsCompleted,0.7059131387557539
actuals.contactTracers,actuals.negativeTests,0.7025639790302791
actuals.vaccinationsInitiated,actuals.cases,0.6997126099962522
actuals.icuBeds.capacity,actuals.vaccinationsInitiated,0.6931843141266925
actuals.icuBeds.capacity,actuals.vaccinesDistributed,0.6900660276877048
actuals.deaths,actuals.icuBeds.currentUsageTotal,0.6754287957916348
actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,0.6618892753606805
actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.currentUsageTotal,0.6579347536803627
actuals.icuBeds.capacity,actuals.vaccinesAdministered,0.652719350142242
actuals.negativeTests,actuals.vaccinesAdministered,0.6507132176183179
actuals.negativeTests,actuals.vaccinationsCompleted,0.6476393109577597
actuals.cases,actuals.hospitalBeds.currentUsageCovid,0.6415530399848823
actuals.positiveTests,actuals.vaccinationsAdditionalDose,0.638620870227919
actuals.icuBeds.currentUsageTotal,actuals.vaccinesDistributed,0.6308608398017368
actuals.vaccinationsCompleted,actuals.contactTracers,0.6270008225003867
actuals.vaccinationsInitiated,actuals.negativeTests,0.6225292836141617
actuals.hospitalBeds.currentUsageTotal,actuals.positiveTests,0.6062387448579312
actuals.icuBeds.currentUsageTotal,actuals.vaccinationsInitiated,0.6018318659713114
actuals.positiveTests,actuals.hospitalBeds.currentUsageCovid,0.5996200331922015
actuals.vaccinationsCompleted,actuals.icuBeds.currentUsageTotal,0.5975373835900342
actuals.hospitalBeds.capacity,actuals.positiveTests,0.5970355809829533
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.cases,0.5951924841047129
actuals.vaccinationsInitiated,actuals.contactTracers,0.5949307861147684
actuals.negativeTests,actuals.vaccinesDistributed,0.5818883763002115
actuals.icuBeds.currentUsageTotal,actuals.vaccinesAdministered,0.5756759370263959
actuals.vaccinesAdministered,actuals.contactTracers,0.5731762717671708
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.icuBeds.currentUsageTotal,0.5714070919638897
actuals.positiveTests,actuals.icuBeds.capacity,0.5588921629749856
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.positiveTests,0.5450258562213676
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.newCases,0.5387071400355419
actuals.icuBeds.currentUsageTotal,actuals.positiveTests,0.5292215911654314
actuals.vaccinesDistributed,actuals.contactTracers,0.5231697145800198
actuals.contactTracers,actuals.hospitalBeds.capacity,0.5181703485352138
actuals.cases,actuals.icuBeds.currentUsageCovid,0.5043461369716918
actuals.icuBeds.capacity,actuals.hospitalBeds.currentUsageCovid,0.5030526289955557
actuals.vaccinesDistributed,actuals.vaccinationsAdditionalDose,0.49719578706359624
actuals.hospitalBeds.currentUsageCovid,actuals.newCases,0.49502824447602656
actuals.positiveTests,actuals.negativeTests,0.4904656632732634
actuals.vaccinationsAdditionalDose,actuals.cases,0.48973300387600766
actuals.vaccinesAdministered,actuals.vaccinationsAdditionalDose,0.4893084641441203
actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.currentUsageTotal,0.48445363517239354
actuals.deaths,actuals.negativeTests,0.4825246641530883
actuals.icuBeds.currentUsageCovid,actuals.icuBeds.capacity,0.48035558064883094
actuals.hospitalBeds.currentUsageCovid,actuals.vaccinesDistributed,0.4692827768516469
actuals.vaccinationsAdditionalDose,actuals.newCases,0.46754530651967174
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.vaccinationsAdditionalDose,0.4635923858826792
actuals.contactTracers,actuals.deaths,0.4598340986361693
actuals.hospitalBeds.currentUsageTotal,actuals.negativeTests,0.4469035211273083
actuals.icuBeds.currentUsageCovid,actuals.hospitalBeds.currentUsageTotal,0.43590358175678207
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.icuBeds.capacity,0.42974707105416965
actuals.deaths,actuals.hospitalBeds.currentUsageCovid,0.42871380308746576
actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.capacity,0.427638478538531
